Model,Accuracy,Precision,Recall,BT_Return,BT_MaxDD,BT_Sharpe
Logistic Regression,0.5645756457564576,0.5651612903225807,0.9626373626373627,0.9487505567751782,-0.045248350705127685,2.507378490993142
Decision Tree,0.5498154981549815,0.5747899159663865,0.7516483516483516,0.66370504730051,-0.04069757985932675,2.2235818959195974
SVM,0.5190651906519065,0.5470588235294118,0.8175824175824176,0.5430734061806181,-0.10945624431803475,1.7884020621415366
XGBoost,0.4698646986469865,0.55,0.29010989010989013,0.1885328346230954,-0.0317636219103103,1.2997056540643865
Gradient Boosting,0.46371463714637146,0.5562130177514792,0.20659340659340658,0.15480684971280104,-0.029700999999999998,1.2183569476880243
LightGBM,0.4612546125461255,0.5562913907284768,0.18461538461538463,0.12737048985781074,-0.030937976110624432,1.1045030278718015
Random Forest,0.45879458794587946,0.5496688741721855,0.1824175824175824,0.05366446843221245,-0.03599760903755912,0.6198503939599985
