method,n_simulations,mean_return,median_return,std_return,return_5th_pct,return_25th_pct,return_75th_pct,return_95th_pct,prob_positive,prob_ruin_10pct,prob_ruin_20pct,mean_max_dd,worst_max_dd,dd_95th_pct,mean_sharpe,median_sharpe,sharpe_5th_pct,sharpe_95th_pct
block_bootstrap,1500,0.023655492387509837,-0.006404384504998598,0.2743279156301289,-0.38292064352988264,-0.1632442873799999,0.17793304705245366,0.5128567268341486,0.494,0.3446666666666667,0.20666666666666667,-0.29638355463958604,-0.6542617020292046,-0.48667401480317013,0.14738555516349996,0.11611800109413878,-0.7386448256980641,1.138377169745522
stress_test,1500,-0.2774573277117467,-0.2723976830079382,0.08197052183977954,-0.42141718729030425,-0.33191925711347087,-0.2229885805833831,-0.14973077266159507,0.0,0.992,0.8306666666666667,-0.32342547930796095,-0.5844224489810961,-0.43909767549108303,,,,
return_perturbation,1500,-0.016458121646808075,-0.01674337931565329,0.022184717278927756,-0.05209382782576214,-0.031706019344333876,-0.0012196762927815144,0.02040535434629611,0.23533333333333334,0.0,0.0,-0.2402199595768302,-0.2549324331491789,-0.2470056203383834,0.08782828833955364,0.08748983377620276,0.012664446697804265,0.16431563968176563
