total_return,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,volatility,tail_ratio,n_periods,fold,train_period,test_period,embargo
-0.01298230368354838,-0.020245433818987357,-0.1301393418609881,0.04527745041994254,0.07067299818818334,0.0882808499558034,0.25374246132720907,0.9694592200570982,161,1,2010-2012,2013-2013,60
-0.0071755721934534085,-0.011208530863035748,-0.08521026754585913,-0.029259139249722697,-0.038077887125549756,-0.04253279083581119,0.12386661328821849,1.4371000642512461,161,2,2011-2013,2014-2014,60
-0.004986982543824561,-0.007794702748265991,-0.09539819803971655,0.02863878797872104,0.0338953092632235,0.04692895994977892,0.15632429062337955,0.9429907626457555,161,3,2012-2014,2015-2015,60
0.0016056268908144556,0.002545961829021115,-0.08165284107385408,0.08110760660454529,0.10463757732946401,0.11854046724785652,0.11933733885407502,1.2006293437521784,159,4,2013-2015,2016-2016,60
-0.016183058669836464,-0.0253694562569291,-0.055170643054297204,-0.19166978631549997,-0.3079989998258153,-0.36562824633476215,0.1052432198985164,1.1771371224191223,160,5,2014-2016,2017-2017,60
0.0022553384292348347,0.0035768555756106046,-0.03812506962676732,0.08467442400515687,0.10506238468108521,0.20291427589585143,0.0913631357719453,1.0630115547664756,159,6,2015-2017,2018-2018,60
-0.0018995864347850146,-0.0029716691173685694,-0.09559829506043535,0.0531436110870617,0.07297592245566574,0.0820728767181783,0.1476382000483466,1.1792633036901403,161,7,2016-2018,2019-2019,60
-0.020712647592292487,-0.032033724578997,-0.11251974891608825,-0.016919560325684178,-0.0251289994998489,-0.03605714223717028,0.23978995393865363,0.8719804872566115,162,8,2017-2019,2020-2020,60
0.012315353967349656,0.019343176403730622,-0.05413501389454257,0.21218765883985147,0.24887767939320535,0.5124639319075213,0.13074390012099632,1.067969612509053,161,9,2018-2020,2021-2021,60
-0.021985554257003243,-0.03440768731870525,-0.050804377674882356,-0.25933699188934756,-0.3777007476934733,-0.5676934889725509,0.1112117257442355,0.878250563823597,160,10,2019-2021,2022-2022,60
-0.013118327786595909,-0.020711400799694246,-0.07275449740069065,-0.07390274671109054,-0.11396614369522812,-0.14617687339562774,0.143905679136379,0.896278263220126,159,11,2020-2022,2023-2023,60
-0.02309481535577259,-0.035911677078218074,-0.08270278291975582,-0.13094169809002812,-0.241302216243961,-0.26893614916634695,0.16986008497069652,1.0396749820896798,161,12,2021-2023,2024-2024,60
0.3478622262693534,0.5955976759987391,-0.08963655565089677,2.4686685180518504,3.0051124338333195,5.436148388699989,0.19738479022480288,1.1680734812152764,161,13,2022-2024,2025-2025,60
