Model,Accuracy,Precision,Recall,BT_Return,BT_MaxDD,BT_Sharpe,BT_Sortino
Logistic Regression,0.5110294117647058,0.7521008403361344,0.4637305699481865,-0.013477150191423424,-0.11141291694957031,-0.01014673971061618,-0.00992697148997012
Random Forest,0.48713235294117646,0.720164609053498,0.4533678756476684,-0.034676619083053375,-0.0860619858529526,-0.11387464168993865,-0.11885590803842908
SVM,0.47058823529411764,0.6678082191780822,0.5051813471502591,0.0023566829839130514,-0.1664047704102277,0.07135104492555282,0.08269340073508706
XGBoost,0.4632352941176471,0.7098214285714286,0.4119170984455959,-0.04363901883617582,-0.12355173630036406,-0.16878183274292352,-0.19429600260644442
LightGBM,0.45036764705882354,0.7208121827411168,0.36787564766839376,0.03798044299431727,-0.09599833086571848,0.2353302437325476,0.26370929078250127
Gradient Boosting,0.44485294117647056,0.7164948453608248,0.3601036269430052,0.07272209458152021,-0.059975256221945904,0.41938757538766497,0.4868972313556811
Decision Tree,0.3952205882352941,0.6770186335403726,0.2823834196891192,0.07342056954954401,-0.08235163928768326,0.3673587851729821,0.3161243997602229
